台文漢字諺語（台羅 | 白話字）
上天無路，落地無步（tsiūnn thi bô lōo, lo̍h tē bô pōo | chiūⁿ thian bô lō͘, lo̍h tē bô pō͘）
戶口牌仔釘佇電火柱（hōo-kháu pâi-á tìng tī tiān-hué-thiāu | hō͘-kháu pâi-á tèng tī tiān-hóe-thiāu）
食無錢米，做無錢工（tsia̍h bô tsînn bí, tsò bô tsînn kang | chia̍h bô chîⁿ bí, chò bô chîⁿ kang）
呼狗食家己（khoo káu tsia̍h ka-tī | kho͘ káu chia̍h ka-tī）
三寸風就欲起帆（sann tshùn hong tō beh khí phâng | saⁿ chhùn hong tō beh khí phâng）
無去無頭路，欲去無法度（bô khì bô thâu-lōo, beh khì bô huat-tōo | bô khì bô thâu-lō͘, beh khì bô hoat-tō͘）
話若欲講透機，目屎著撥袂離（uē nā beh kóng thàu ki, ba̍k-sái tio̍h pué bē lī | ōe nā beh kóng thàu ki, ba̍k-sái tio̍h póe bē lī）
食凊飯等你（tsia̍h tshìn-pn̄g tán lí | chia̍h chhìn-pn̄g tán lí）
十條命也無夠死（tsa̍p tiâu miā yā bô kàu sí | cha̍p tiâu miā iā bô kàu sí）
人比人，氣死人（lâng pí lâng, khì sí lâng | lâng pí lâng, khì sí lâng）
講甲有跤有手（kóng kah ū kha ū tshiú | kóng kah ū kha ū chhiú）
話較濟貓仔毛（uē kah tsé niau-á-mn̂g | ōe kah chē niau-á-mn̂g）
天機不可漏洩（thian-ki put-khó lāu-sia̍p | thian-ki put-khó lāu-sia̍p）
好䆀在心內，毋通講（hó bái tsai sim-lāi, m̄-thang kóng | hó bái chai sim-lāi, m̄-thang kóng）
講人人到，講鬼鬼哭（kóng lâng lâng kàu, kóng kuí kuí khàu | kóng lâng lâng kàu, kóng kúi kúi khàu）
無鼎無灶（bô tiánn, bô tsàu | bô tiáⁿ, bô chàu）
一頓久久，二頓相抵（tsi̍t tǹg kú-kú, nn̄g tǹg sio-tú | chi̍t tǹg kú-kú, nn̄g tǹg sio-tú）
正手入，倒手出（tsiànn-tshiú ji̍p, tò-tshiú tshut | chiàⁿ-chhiú ji̍p, tò-chhiú chhut）
刣頭生意有人做，了錢生意無人做（thâi-thâu sing-lí ū lâng tsò, liáu-tsînn sing-lí bô lâng tsò | thâi-thâu seng-lí ū lâng chò, liáu-chîⁿ seng-lí bô lâng chò）
草蜢弄雞公，雞公咇噗跳（tsháu-me̍h lāng ke-kang, ke-kang phi̍h-pho̍k-thiàu | chháu-me̍h lāng ke-kang, ke-kang phi̍h-pho̍k-thiàu）
死豬仔價（sí ti-á kè | sí ti-á kè）
歹心予雷摃（pháinn-sim hōo luî kòng | pháiⁿ-sim hō͘ lûi kòng）
冤家變親家（uan-ke piàn tshin-ke | oan-ke piàn chhin-ke）
褲袋仔袋磅仔（khòo-tē-á tē pōng-á | khò͘-tē-á tē pōng-á）
人情世事陪到到，無鼎閣無灶（jîn-tsíng sè-sū puê kau-kau, bô tiánn koh bô tsàu | jîn-chéng sè-sū pôe kàu-kàu, bô tiáⁿ koh bô chàu）
草地人驚掠，都市人驚食（tsháu-tē-lâng kiann lia̍h, too-tshī-lâng kiann tsia̍h | chháu-tē-lâng kiaⁿ lia̍h, to͘-chhī-lâng kiaⁿ chia̍h）
相諍無認輸，相輸毋捌贏（sio-tsenn m̄ jīn su, sio-su m̄-bat iânn | sio-cheⁿ m̄ jīn su, sio-su m̄-bat iâⁿ）
有過鹽水的人（ū kuè kiâm-tsuí ê lâng | ū kòe kiâm-chúi ê lâng）
大人講囡仔話（tuā lâng kóng gín-á uē | tōa lâng kóng gín-á ōe）
囡仔講大人話（gín-á kóng tuā lâng uē | gín-á kóng tōa lâng ōe）
三日小宴五日大宴（sann ji̍t sió iàn, gōo ji̍t tuā iàn | saⁿ ji̍t sió iàn, gō͘ ji̍t tōa iàn）
三日風無一滴露（sa ji̍t hong bô tsi̍t tih lōo | sa ji̍t hong bô chi̍t tih lō͘）
早起討無下暗頓（tsá-khí thó bô e-àm tǹg | chá-khí thó bô e-àm tǹg）
食的無，做的有（tsia̍h ê bô, tsò ê ū | chia̍h ê bô, chò ê ū）
人驚出名，豬驚肥（lâng kiann tshut-miâ, ti kiann puî | lâng kiaⁿ chhut-miâ, ti kiaⁿ pûi）
富貴在天（hù-kuì tsāi thian | hù-kùi chāi thian）
看天食飯（khuànn thian tsia̍h pn̄g | khòaⁿ thian chia̍h pn̄g）
煙花好看無耐久（ian-hué hó khuànn bô nāi kú | ian-hóe hó khòaⁿ bô nāi kú）
富貴由命，不由人（hù-kuì iû bīng, put iû lîn | hù-kùi iû bēng, put iû lîn）
提人錢財，替人消災（the̍h lâng tsînn-tsâi, thè lâng siau-tsai | the̍h lâng chîⁿ-châi, thè lâng siau-chai）
有食有行氣，有燒香有保佑（ū tsia̍h ū kiânn-khì, ū sio-hiunn ū pó-pì | ū chia̍h ū kiâⁿ-khì, ū sio-hiuⁿ ū pó-pì）
大廟無收，小廟無留（tuā biō bô siu, sió biō bô lâu | tōa biō bô siu, sió biō bô lâu）
人食一點氣（lâng tsia̍h tsi̍t tiám khuì | lâng chia̍h chi̍t tiám khùi）
立冬補冬，補喙空（li̍p-tang póo-tang, póo tshuì-khang | li̍p-tang pó͘-tang, pó͘ chhùi-khang）
春分落雨到清明（tshun-hun lo̍h hōo kàu tshing-bîng | chhun-hun lo̍h hō͘ kàu chheng-bêng）
夏至風颱就出世（hā-tsì hong-thai tio̍h tshut-sì | hā-chì hong-thai tio̍h chhut-sì）
處暑會曝死鳥鼠（tshù-sú ē pha̍k sí niáu-tshú | chhù-sú ē pha̍k sí niáu-chhú）
六月入秋緊溜溜， 七月入秋秋後油（lak̍ gueh̍ li̍p-tshiu, kín liu-liu, tshit gueh̍ li̍p-tshiu, tshiu āu iû | lak̍ goeh̍ li̍p-chhiu, kín liu-liu, chhit goeh̍ li̍p-chhiu, chhiu āu iû）
白露雨，寒露風（pe̍h-lōo hōo, hân-lōo hong | pe̍h-lō͘ hō͘, hân-lō͘ hong）
早冬雨，晚冬露（tsá-tang hōo, mńg-tang lōo | chá-tang hō͘, mńg-tang lō͘）
冬看山頭，春看海口（tang khuànn suann-thâu, tshun khuànn hái-kháu | tang khòaⁿ soaⁿ-thâu, chhun khòaⁿ hái-kháu）
正月蔥，二月韭（tsiànn gue̍h tshang, jī gue̍h kú | chiàⁿ goe̍h chhang, jī goe̍h kú）
春分，暝日對分（tshun-hun, mê-ji̍t tuì pun | chhun-hun, mê-ji̍t tùi pun）
清明穀雨，寒死虎母（tshing-bîng kok-ú, kuânn sí hoó bú | chheng-bêng kok-ú, kôaⁿ sí hó͘ bú）
立夏，小滿，雨水相趕（li̍p-hā, sió-buán, hōo-tsuí sio kuánn | li̍p-hā, sió-boán, hō͘-chúi sio kóaⁿ）
未食五月粽，破裘毋通放（buē tsia̍h gōo-gue̍h-tsàng, phuà hiû m̄-thang pàng | bōe chia̍h gō͘-goe̍h-chàng, phòa hiû m̄-thang pàng）
五月雨面會烏（gōo-gue̍h-hōo bīn ē oo | gō͘-goe̍h-hō͘ bīn ē o͘）
毋驚七月半鬼，只驚七月半水（m̄-kiann tshit gue̍h puànn kuí, tsí kiann tshit gue̍h puànn tsuí | m̄-kiaⁿ chhit goe̍h pòaⁿ kúi, chí kiaⁿ chhit goe̍h pòaⁿ chúi）
秋分，暝日對分（tshiu-hun, mê-ji̍t tuì pun | chhiu-hun, mê-ji̍t tùi pun）
有苦無塊講（ū khoó bô tè kóng | ū khó͘ bô tè kóng）
掃著風颱尾（sàu tio̍h hong-thai bué | sàu tio̍h hong-thai bóe）
前世相欠債（tsîng-sè sio khiàm-tsè | chêng-sè sio khiàm-chè）
媠人無媠命（suí lâng bô suí miā | súi lâng bô súi miā）
棚頂做甲流汗，棚跤嫌甲流瀾（Pênn-tíng tsò kah lâu-kuānn, pênn-kha hiâm kah lâu-nuā | Pêⁿ-téng chò kah lâu-kōaⁿ, pêⁿ-kha hiâm kah lâu-nōa）
